4,3026604,3077670,+
4,3075604,3126770,-
X,66715159,66775360,+
X,66764159,66815360,-
6,16277865,16338050,+
6,16326865,16378050,-
12,111986754,112037950,+
12,112035754,112086950,-
14,92487355,92538555,+
14,92536355,92587555,-
19,13268673,13319873,+
19,13317673,13368873,-
3,63848361,63899561,+
3,63897361,63948561,-
6,170820995,170872200,+
6,170869995,170921200,-
12,6995880,7047100,+
12,7044880,7096100,-
16,87587899,87639100,+
16,87636899,87688100,-
X,146943555,146994755,+
X,146992555,147043755,-
X,147532159,147583359,+
X,147572159,147632359,-
19,46223463,46274663,+
19,46272463,46323663,-
9,71602201,71653401,+
9,71651201,71702401,-
3,128841420,128892620,+
3,128890420,128941620,-
9,27523483,27574683,+
9,27572483,27623683,-
20,2583379,2634579,+
20,2632379,2683579,-
22,46141235,46192435,+
22,46190235,46241435,-
21,45146324,45197524,+
21,45195324,45246524,-
5,146208291,146259491,+
5,146257291,146308491,-
13,70663516,70714716,+
13,70712516,70763716,-
16,66474302,66525502,+
16,66523302,66574502,-
1,57782716,57833916,+
1,57831716,57882916,-
8,119329055,119380255,+
8,119378055,119429255,-
18,53203385,53254585,+
18,53252385,53303585,-
14,23740682,23791682,+
14,23789682,23840682,-
X,24981771,25032971,+
X,25030771,25081971,-
