RepeatHMM	STRique	Tandem_Genotypes
9	206	19
33	224	19
39	23	20
40	27	20
41	26	20
42	19	22
42	304	22
42	227	23
42	230	26
42	539	170
43	24	174
43	NA	NA
43	23	176
NA	195	179
44	13	180
44	26	182
44	NA	NA
NA	21	192
45	246	201
45	266	20
47	20	20
63	23	20
64	241	20
66	22	21
66	21	21
109	189	21
145	200	21
158	219	21
NA	NA	NA
161	21	22
163	18	22
182	168	22
190	246	23
194	20	24
212	239	25
213	19	193
220	22	214
225	25	218
226	23	227
227	23	229
NA	NA	231
227	23	232
230	24	232
NA	NA	NA
243	0	260
NA	255	NA	
