Illumina	LongShot	Haplotype
14	14	hap1
16	16	hap1
17	17	hap1
18	18	hap1
18	18	hap1
19	18	hap1
19	19	hap1
19	19	hap1
19	19	hap1
19	19	hap1
19	19	hap1
19	20	hap1
20	20	hap1
20	20	hap1
20	20	hap1
20	20	hap1
20	20	hap1
20	20	hap1
20	20	hap1
20	21	hap1
20	25	hap1
21	42	hap1
25	43	hap1
42	46	hap1
43	47	hap1
46	48	hap1
47	48	hap1
48	48	hap1
48	49	hap1
48	51	hap1
48	NA	hap1
49	NA	hap1
51	NA	hap1
13	13	hap2
15	15	hap2
15	16	hap2
16	17	hap2
17	18	hap2
18	18	hap2
18	18	hap2
18	19	hap2
19	19	hap2
19	19	hap2
19	19	hap2
19	19	hap2
19	19	hap2
20	20	hap2
20	20	hap2
20	20	hap2
20	20	hap2
20	20	hap2
21	21	hap2
21	21	hap2
22	22	hap2
23	23	hap2
33	33	hap2
42	42	hap2
47	47	hap2
47	47	hap2
48	48	hap2
49	49	hap2
49	49	hap2
49	49	hap2
50	50	hap2
51	51	hap2
51	51	hap2
100	NA	hap2
